"filename", "language", "JavaScript", "XML", "CSS", "comment", "blank", "total"
"d:\Proyecto-de-grado\client\src\App.jsx", "JavaScript", -72, 0, 0, -1, -11, -84
"d:\Proyecto-de-grado\client\src\App.test.js", "JavaScript", -7, 0, 0, 0, -2, -9
"d:\Proyecto-de-grado\client\src\Components\Aside.jsx", "JavaScript", -120, 0, 0, -5, -11, -136
"d:\Proyecto-de-grado\client\src\Components\Busqueda.jsx", "JavaScript", -84, 0, 0, -1, -5, -90
"d:\Proyecto-de-grado\client\src\Components\Footer.jsx", "JavaScript", -89, 0, 0, -1, -8, -98
"d:\Proyecto-de-grado\client\src\Components\ImageBanner.css", "CSS", 0, 0, -26, 0, -4, -30
"d:\Proyecto-de-grado\client\src\Components\ImageBanner.jsx", "JavaScript", -26, 0, 0, -1, -5, -32
"d:\Proyecto-de-grado\client\src\Components\Licencia.jsx", "JavaScript", -62, 0, 0, 0, -3, -65
"d:\Proyecto-de-grado\client\src\Components\NavBar.jsx", "JavaScript", -264, 0, 0, -4, -12, -280
"d:\Proyecto-de-grado\client\src\Components\NavListDrawer.jsx", "JavaScript", -98, 0, 0, 0, -20, -118
"d:\Proyecto-de-grado\client\src\Pages\FilePage.jsx", "JavaScript", -150, 0, 0, -2, -9, -161
"d:\Proyecto-de-grado\client\src\Pages\Home.jsx", "JavaScript", -211, 0, 0, -6, -11, -228
"d:\Proyecto-de-grado\client\src\Pages\Login.jsx", "JavaScript", -104, 0, 0, -3, -3, -110
"d:\Proyecto-de-grado\client\src\Pages\ProtectedRoute.jsx", "JavaScript", -9, 0, 0, 0, -3, -12
"d:\Proyecto-de-grado\client\src\Pages\Register.jsx", "JavaScript", -172, 0, 0, -26, -10, -208
"d:\Proyecto-de-grado\client\src\Pages\RegisterAuthor.jsx", "JavaScript", -195, 0, 0, -9, -26, -230
"d:\Proyecto-de-grado\client\src\Pages\RegisterFile.jsx", "JavaScript", -158, 0, 0, -5, -19, -182
"d:\Proyecto-de-grado\client\src\Pages\ViewFile.jsx", "JavaScript", -50, 0, 0, 0, -6, -56
"d:\Proyecto-de-grado\client\src\api\auth.js", "JavaScript", -4, 0, 0, 0, -3, -7
"d:\Proyecto-de-grado\client\src\api\authors.js", "JavaScript", -7, 0, 0, 0, -3, -10
"d:\Proyecto-de-grado\client\src\api\axios.js", "JavaScript", -6, 0, 0, 0, -3, -9
"d:\Proyecto-de-grado\client\src\api\carreras.js", "JavaScript", -2, 0, 0, 0, -2, -4
"d:\Proyecto-de-grado\client\src\api\tasks.js", "JavaScript", -21, 0, 0, -1, -8, -30
"d:\Proyecto-de-grado\client\src\context\AuthContext.jsx", "JavaScript", -82, 0, 0, 0, -8, -90
"d:\Proyecto-de-grado\client\src\context\AuthorsContext.jsx", "JavaScript", -60, 0, 0, -1, -8, -69
"d:\Proyecto-de-grado\client\src\context\TasksContext.jsx", "JavaScript", -56, 0, 0, 0, -9, -65
"d:\Proyecto-de-grado\client\src\index.js", "JavaScript", -48, 0, 0, 0, -4, -52
"d:\Proyecto-de-grado\client\src\logo.svg", "XML", 0, -1, 0, 0, 0, -1
"d:\Proyecto-de-grado\client\src\reportWebVitals.js", "JavaScript", -12, 0, 0, 0, -2, -14
"d:\Proyecto-de-grado\client\src\setupTests.js", "JavaScript", -1, 0, 0, -4, -1, -6
"d:\Proyecto-de-grado\src\app.js", "JavaScript", 42, 0, 0, 8, 15, 65
"d:\Proyecto-de-grado\src\config.js", "JavaScript", 1, 0, 0, 0, 0, 1
"d:\Proyecto-de-grado\src\controllers\auth.controller.js", "JavaScript", 82, 0, 0, 0, 18, 100
"d:\Proyecto-de-grado\src\controllers\author.controller.js", "JavaScript", 52, 0, 0, 0, 10, 62
"d:\Proyecto-de-grado\src\controllers\carrera.controller.js", "JavaScript", 13, 0, 0, 0, 6, 19
"d:\Proyecto-de-grado\src\controllers\tasks.controller.js", "JavaScript", 91, 0, 0, 1, 20, 112
"d:\Proyecto-de-grado\src\controllers\upload.controller.js", "JavaScript", 14, 0, 0, 1, 2, 17
"d:\Proyecto-de-grado\src\db.js", "JavaScript", 9, 0, 0, 16, 3, 28
"d:\Proyecto-de-grado\src\index.js", "JavaScript", 6, 0, 0, 0, 3, 9
"d:\Proyecto-de-grado\src\libs\jwt.js", "JavaScript", 17, 0, 0, 0, 0, 17
"d:\Proyecto-de-grado\src\middlewares\validateToken.js", "JavaScript", 12, 0, 0, 0, 2, 14
"d:\Proyecto-de-grado\src\middlewares\validator.middleware.js", "JavaScript", 8, 0, 0, 0, 1, 9
"d:\Proyecto-de-grado\src\models\author.model.js", "JavaScript", 42, 0, 0, 0, 2, 44
"d:\Proyecto-de-grado\src\models\carrera.model.js", "JavaScript", 22, 0, 0, 0, 4, 26
"d:\Proyecto-de-grado\src\models\project.model.js", "JavaScript", 42, 0, 0, 1, 5, 48
"d:\Proyecto-de-grado\src\models\user.model.js", "JavaScript", 27, 0, 0, 0, 3, 30
"d:\Proyecto-de-grado\src\routes\auth.routes.js", "JavaScript", 18, 0, 0, 0, 4, 22
"d:\Proyecto-de-grado\src\routes\author.routes.js", "JavaScript", 17, 0, 0, 0, 3, 20
"d:\Proyecto-de-grado\src\routes\carrera.routes.js", "JavaScript", 6, 0, 0, 0, 4, 10
"d:\Proyecto-de-grado\src\routes\projects.routes.js", "JavaScript", 23, 0, 0, 1, 6, 30
"d:\Proyecto-de-grado\src\routes\upload.routes.js", "JavaScript", 5, 0, 0, 0, 3, 8
"d:\Proyecto-de-grado\src\schemas\auth.schema.js", "JavaScript", 35, 0, 0, 0, 2, 37
"d:\Proyecto-de-grado\src\schemas\author.schema.js", "JavaScript", 22, 0, 0, 0, 0, 22
"d:\Proyecto-de-grado\src\schemas\task.chema.js", "JavaScript", 16, 0, 0, 0, 0, 16
"Total", "-", -1548, -1, -26, -42, -103, -1720